scenario,seed,dy,n,alpha_hat,se,alpha_0,se_alpha_0,n_pool,cover
S-B,seed09,9,4096,0.590454192501056,0.11707403455953487,0.508622724145059,0.014863333129641247,39812,1.0
S-B,seed09,10,2058,0.679963097449259,0.37623674317048283,0.4323712164617328,0.023374213829505903,19579,1.0
S-C,seed00,1,19178,2.062812696811345,0.04709189137015588,2.0085711117347382,0.004239935265378656,191752,1.0
S-C,seed00,2,17840,1.7079783753615199,0.05264127491878831,1.6487377747038214,0.0055057402739517244,177946,1.0
S-C,seed00,3,15984,1.4052452367420365,0.06854523707659779,1.4117702319770542,0.007171352096799005,159174,1.0
S-C,seed00,4,14014,1.3804344531908306,0.0757143217789184,1.3200642292037443,0.009517885238985245,139514,1.0
S-C,seed00,5,12021,1.3117350433964674,0.11776574243555435,1.2730413203600597,0.011860991457166476,119679,1.0
S-C,seed00,6,10025,1.346757035230714,0.10631516126810295,1.2056894810894812,0.01357965347995018,99989,1.0
S-C,seed00,7,7993,1.261275531372339,0.12305906799575066,1.1455241964563503,0.015347692415438692,79655,1.0
S-C,seed00,8,6007,1.0099999356520435,0.12202306241123016,1.0852123454851073,0.01726544917199372,59539,1.0
S-C,seed00,9,3980,1.2124017388333896,0.18741238895544532,1.0234323525883746,0.019938232571708528,39600,1.0
S-C,seed00,10,2018,1.21266443463104,0.36660768166609436,0.953263764651401,0.0251203388115774,19579,1.0
S-C,seed01,1,19087,1.9430360540458051,0.03482886854546726,2.0085711117347382,0.004239935265378656,191752,1.0
S-C,seed01,2,17794,1.7053409143926284,0.06079094843243381,1.6487377747038214,0.0055057402739517244,177946,1.0
S-C,seed01,3,15939,1.4521754170362386,0.06005001304248622,1.4117702319770542,0.007171352096799005,159174,1.0
S-C,seed01,4,14035,1.3056877484183262,0.0635977139635789,1.3200642292037443,0.009517885238985245,139514,1.0
S-C,seed01,5,12088,1.372199673743208,0.10688570960768973,1.2730413203600597,0.011860991457166476,119679,1.0
S-C,seed01,6,10050,1.2248410217440542,0.11826308963568173,1.2056894810894812,0.01357965347995018,99989,1.0
S-C,seed01,7,8070,1.332487765275891,0.14854722576717025,1.1455241964563503,0.015347692415438692,79655,1.0
S-C,seed01,8,6013,1.1974820926399774,0.18756575068179981,1.0852123454851073,0.01726544917199372,59539,1.0
S-C,seed01,9,4025,1.2572486111563703,0.2625532367856731,1.0234323525883746,0.019938232571708528,39600,1.0
S-C,seed01,10,2001,0.9611347210975252,0.22993533195180058,0.953263764651401,0.0251203388115774,19579,1.0
S-C,seed02,1,19259,2.0170703782076327,0.04017689532045856,2.0085711117347382,0.004239935265378656,191752,1.0
S-C,seed02,2,17850,1.589010230512372,0.04542163318782161,1.6487377747038214,0.0055057402739517244,177946,1.0
S-C,seed02,3,15888,1.486301708488595,0.06340621382984352,1.4117702319770542,0.007171352096799005,159174,1.0
S-C,seed02,4,13910,1.387745421186625,0.09314303752199679,1.3200642292037443,0.009517885238985245,139514,1.0
S-C,seed02,5,11931,1.2147732196094903,0.08726778058739282,1.2730413203600597,0.011860991457166476,119679,1.0
S-C,seed02,6,9935,1.1978667170734145,0.08568075167299503,1.2056894810894812,0.01357965347995018,99989,1.0
S-C,seed02,7,8026,1.0413221132028652,0.09965853141159126,1.1455241964563503,0.015347692415438692,79655,1.0
S-C,seed02,8,6015,0.8935325773239431,0.13088044090458753,1.0852123454851073,0.01726544917199372,59539,1.0
S-C,seed02,9,3971,1.0910976427493915,0.2284930276710848,1.0234323525883746,0.019938232571708528,39600,1.0
S-C,seed02,10,1968,0.7629740661868027,0.1479576193762381,0.953263764651401,0.0251203388115774,19579,1.0
S-C,seed03,1,18932,2.027067527784206,0.04532570885405538,2.0085711117347382,0.004239935265378656,191752,1.0
S-C,seed03,2,17578,1.7111159096313122,0.061783409538364684,1.6487377747038214,0.0055057402739517244,177946,1.0
S-C,seed03,3,15740,1.327062292540709,0.05832539963337967,1.4117702319770542,0.007171352096799005,159174,1.0
S-C,seed03,4,13848,1.2513225754761161,0.07434254242190509,1.3200642292037443,0.009517885238985245,139514,1.0
S-C,seed03,5,11832,1.3420714699484149,0.11196603208634894,1.2730413203600597,0.011860991457166476,119679,1.0
S-C,seed03,6,9913,1.262140047456593,0.14556939984358094,1.2056894810894812,0.01357965347995018,99989,1.0
S-C,seed03,7,7925,0.9255489362970998,0.09240873063816155,1.1455241964563503,0.015347692415438692,79655,0.0
S-C,seed03,8,5928,1.0521534179000676,0.136226752851038,1.0852123454851073,0.01726544917199372,59539,1.0
S-C,seed03,9,3915,1.4803427149409374,0.6853455257368681,1.0234323525883746,0.019938232571708528,39600,1.0
S-C,seed03,10,1926,0.7581357179328753,0.1754308527014836,0.953263764651401,0.0251203388115774,19579,1.0
S-C,seed04,1,19126,2.0041852324167175,0.04111395975826192,2.0085711117347382,0.004239935265378656,191752,1.0
S-C,seed04,2,17718,1.6404852523987135,0.04867292627934664,1.6487377747038214,0.0055057402739517244,177946,1.0
S-C,seed04,3,15845,1.4840119428482668,0.06424665039624841,1.4117702319770542,0.007171352096799005,159174,1.0
S-C,seed04,4,13876,1.3258066188892712,0.07257425393869012,1.3200642292037443,0.009517885238985245,139514,1.0
S-C,seed04,5,11823,1.2322391278220386,0.06611678903523599,1.2730413203600597,0.011860991457166476,119679,1.0
S-C,seed04,6,9878,1.2634252815155833,0.09916512001085367,1.2056894810894812,0.01357965347995018,99989,1.0
S-C,seed04,7,7914,0.9704413028456832,0.08886535057615878,1.1455241964563503,0.015347692415438692,79655,0.0
