scenario,name,arm,n_seeds,mean_error_pct,sd_error_pct,rmse_error_pct,mean_error_vs_oracle_pct,rmse_vs_oracle_pct
S-C,random_forest__single_model__log1p__two_stage,duan,10,-21.60089796207599,9.838389323986105,23.531113590506294,-22.92468808724037,24.00548778159346
S-C,random_forest__single_model__log1p__two_stage,insample_global,10,-24.86785994012554,8.52276804978211,26.149269123802462,-26.118241426812357,26.78818910031961
S-C,random_forest__single_model__log1p__two_stage,iso_global,10,-24.082815566831307,7.812897074841302,25.19760366102042,-25.331762972431687,25.870542348961138
S-C,random_forest__single_model__log1p__two_stage,none,10,-59.059159772503236,5.023741978623769,59.25114799018726,-59.74993901125093,59.858184155608726
S-C,random_forest__single_model__log1p__two_stage,paper,10,-24.405498106504986,8.397057765099701,25.6727064998219,-25.65964137972391,26.310222023645068
S-C,random_forest__single_model__log1p__two_stage,shift_dy_bs1,10,-32.60545410766577,8.021813673192092,33.48178882189196,-33.72896860108547,34.2137365317441
S-C,random_forest__single_model__log1p__two_stage,shift_global,10,-23.39604146191021,8.948419303073145,24.888582589385692,-24.672122108742446,25.474960246897126
S-C,random_forest_poisson__per_dy__raw__two_stage,cv_dy,10,-38.98482389856777,4.0860687821737836,39.177070547524735,-39.904936988731336,40.01623689248606
S-C,random_forest_poisson__per_dy__raw__two_stage,cv_dy_bs1,10,-38.809625524497434,4.627730973632465,39.05715475965457,-39.74063719132975,39.89154768708552
S-C,random_forest_poisson__per_dy__raw__two_stage,cv_dy_bsmean,10,-37.91479132207592,4.4952881222064685,38.153876012379776,-38.86699683270358,38.991404219253674
S-C,random_forest_poisson__per_dy__raw__two_stage,cv_dy_heur,10,-38.96378938318311,4.100644367986383,39.157510632144145,-39.88591572910875,39.996026241387995
S-C,random_forest_poisson__per_dy__raw__two_stage,cv_dy_zcv,10,-38.77944553434865,4.627732355004274,39.02716633354402,-39.711917255816616,39.861446359505535
S-C,random_forest_poisson__per_dy__raw__two_stage,cv_global,10,-38.98482389856777,4.0860687821737836,39.177070547524735,-39.904936988731336,40.01623689248606
S-C,random_forest_poisson__per_dy__raw__two_stage,cv_type,10,-39.20001385316768,4.422538985964221,39.423902040040055,-40.14626460399696,40.24368774693835
S-C,random_forest_poisson__per_dy__raw__two_stage,cv_type_bs1,10,-39.43290969281186,4.299624703491234,39.643315479072136,-40.35969458070829,40.469353732677156
S-C,random_forest_poisson__per_dy__raw__two_stage,duan,10,-38.809625524497434,4.627730973632465,39.05715475965457,-39.74063719132975,39.89154768708552
S-C,random_forest_poisson__per_dy__raw__two_stage,insample_global,10,-39.00422620919576,4.306687431402397,39.21762949423043,-39.93494993642657,40.050016495271386
S-C,random_forest_poisson__per_dy__raw__two_stage,iso_global,10,-37.92040206685567,4.631194724581636,38.17407577180206,-38.884141209475885,39.008590912799875
S-C,random_forest_poisson__per_dy__raw__two_stage,none,10,-38.809625524497434,4.627730973632465,39.05715475965457,-39.74063719132975,39.89154768708552
S-C,random_forest_poisson__per_dy__raw__two_stage,paper,10,-38.809625524497434,4.627730973632465,39.05715475965457,-39.74063719132975,39.89154768708552
S-C,random_forest_poisson__per_dy__raw__two_stage,shift_dy_bs1,10,-38.809625524497434,4.627730973632465,39.05715475965457,-39.74063719132975,39.89154768708552
S-C,random_forest_poisson__per_dy__raw__two_stage,shift_global,10,-38.9843860041516,4.086103595535926,39.1766380698344,-39.90450683413394,40.015808258164135
S-C,random_forest_poisson__single_model__raw__two_stage,cv_dy,10,-22.96504102599173,12.002191083136927,25.632800101471584,-24.257176406908588,26.148638618114976
S-C,random_forest_poisson__single_model__raw__two_stage,cv_dy_bs1,10,-19.271794692817572,12.767152860223339,22.761859406093993,-20.607451971297863,23.155104068877336
S-C,random_forest_poisson__single_model__raw__two_stage,cv_dy_bsmean,10,-18.835663945023793,12.299993712730377,22.157235771859167,-20.188102697764105,22.526699020063536
S-C,random_forest_poisson__single_model__raw__two_stage,cv_dy_heur,10,-21.94628264381651,12.427040933021305,24.912397186906166,-23.256816494241985,25.38706160551843
