kind,scenario,dy,group,n,empirical,analytic,se,z,quad_rel_err,expected_active,normal_approx_ok
"upper P(Y>0|c,k,r)",S-A,2.0,Bodily r=2,4127,0.7026896050399806,0.7,0.0071333315971787645,0.37704752727944874,,2888.8999999999996,True
"upper E[Y|c,k,r]",S-A,2.0,Annuity r=1,3059,40609.165841382666,42097.26154705224,1224.1904396660661,-1.2155753365264792,,2976.800756756095,True
"upper P(Y>0|c,k,r)",S-A,2.0,Annuity r=1,3059,0.9709055246812683,0.973128720744065,0.00292374557735001,-0.7603931340741604,,2976.800756756095,True
"upper E[Y|c,k,r]",S-A,2.0,Annuity r=2,1285,39124.08019522817,39092.36289378343,1783.3438049123145,0.017785298245561448,,1220.75,True
"upper P(Y>0|c,k,r)",S-A,2.0,Annuity r=2,1285,0.9595330739299611,0.95,0.0060798832673618925,1.5679698952670253,,1220.75,True
"upper P(c,r|k)",S-A,3.0,Material r=1,160148,0.7535092539401054,0.7525798420836489,0.0010782837763648075,0.861936233140572,,,
"upper P(c,r|k)",S-A,3.0,Material r=2,160148,2.4976896370856957e-05,3.416707197125961e-05,1.4606148176132058e-05,-0.6291991214645036,,,
"upper P(c,r|k)",S-A,3.0,Technical r=1,160148,0.06952943527237306,0.07015457947656538,0.000638223265071147,-0.9795070759801165,,,
"upper P(c,r|k)",S-A,3.0,Technical r=2,160148,0.00010615180957614207,8.928108916065708e-05,2.361019598702309e-05,0.7145523241212262,,,
"upper P(c,r|k)",S-A,3.0,Bodily r=1,160148,0.12268027074955666,0.1220927171461235,0.000818103867424515,0.7181894950366756,,,
"upper P(c,r|k)",S-A,3.0,Bodily r=2,160148,0.022797662162499687,0.023060335553049996,0.0003750644679641056,-0.7003419758105358,,,
"upper P(c,r|k)",S-A,3.0,Bodily r=3,160148,0.004239828158952968,0.004355534779218778,0.00016455539495221336,-0.7031469269020983,,,
"upper P(c,r|k)",S-A,3.0,Annuity r=1,160148,0.017009266428553587,0.017021172398253574,0.00032322582854213037,-0.03683483387972816,,,
"upper P(c,r|k)",S-A,3.0,Annuity r=2,160148,0.007062217448859804,0.007397371030971132,0.00021412415000360033,-1.5652301812088525,,,
"upper P(c,r|k)",S-A,3.0,Annuity r=3,160148,0.0030409371331518347,0.0032148841977222113,0.00014145642547070853,-1.2296865553583207,,,
upper P(a|k),S-A,3.0,AY 1,160148,0.12474710892424508,0.125,0.0008264151560448416,-0.3060097263526042,,,
upper P(a|k),S-A,3.0,AY 2,160148,0.1252341584034768,0.125,0.0008264151560448416,0.2833423392153743,,,
upper P(a|k),S-A,3.0,AY 3,160148,0.12619576891375478,0.125,0.0008264151560448416,1.4469348789265113,,,
upper P(a|k),S-A,3.0,AY 4,160148,0.12566500986587406,0.125,0.0008264151560448416,0.804692243371663,,,
upper P(a|k),S-A,3.0,AY 5,160148,0.12485326073382122,0.125,0.0008264151560448416,-0.17756119924163455,,,
upper P(a|k),S-A,3.0,AY 6,160148,0.12476584159652322,0.125,0.0008264151560448416,-0.2833423392153743,,,
upper P(a|k),S-A,3.0,AY 7,160148,0.1246284686664835,0.125,0.0008264151560448416,-0.44956984488839385,,,
upper P(a|k),S-A,3.0,AY 8,160148,0.12391038289582136,0.125,0.0008264151560448416,-1.3184863518155416,,,
upper E[Y|k],S-A,3.0,all,160148,2787.494669777553,2743.244157396778,41.551109760880856,1.0649658369037254,,,
upper E[oracle|k],S-A,3.0,all,160148,2745.9493571405083,2743.244157396778,22.24711947606331,0.12159775321208835,,,
upper P(Y>0|k),S-A,3.0,all,160148,0.1849601618502885,0.1852469624196641,0.0009707955616999276,-0.29542838955031797,,,
"upper E[Y|c,k,r]",S-A,3.0,Material r=1,120673,120.08791750771742,121.29911007888214,2.058966671379091,-0.5882526356550795,,11788.788401517482,True
"upper P(Y>0|c,k,r)",S-A,3.0,Material r=1,120673,0.09720484283974046,0.09769201366929797,0.0008546767238508607,-0.5700059636145248,,11788.788401517482,True
"upper E[Y|c,k,r]",S-A,3.0,Technical r=1,11135,133.91767999010693,129.35169994958903,5.986699475267567,0.7626873637771553,,1566.2985398383319,True
"upper P(Y>0|c,k,r)",S-A,3.0,Technical r=1,11135,0.14342164346654693,0.14066443797721412,0.003294795311428181,0.8368366556093145,,1566.2985398383319,True
"upper E[Y|c,k,r]",S-A,3.0,Bodily r=1,19647,8588.876157900717,8567.033893237654,156.225502880758,0.13981241385239107,,9103.469340470132,True
"upper P(Y>0|c,k,r)",S-A,3.0,Bodily r=1,19647,0.46551636382144856,0.4633516231725011,0.0035575591680932204,0.6084904134167097,,9103.469340470132,True
"upper E[Y|c,k,r]",S-A,3.0,Bodily r=2,3651,14516.043268431657,14305.267401708466,487.59315265152713,0.43227815152241755,,2431.3113237070565,True
